,pep1,pep2,pep3,pep4,pep1_2,pep2_2,pep3_2,pep4_2,pep1_indiv,pep2_indiv,pep3_indiv,pep4_indiv,pep5_indiv,pep6_indiv,pep7_indiv,pep8_indiv,pep1_2_indiv,pep2_2_indiv,pep3_2_indiv,pep4_2_indiv,pep5_2_indiv,pep6_2_indiv,pep7_2_indiv,pep8_2_indiv
0,6,10,12,12,7,2,12,12,10,12,10,8,12,7,7,8,8,6,1,12,12,7,12,7
1,6,10,12,12,7,2,12,12,10,12,10,1,12,7,7,8,8,6,1,12,12,7,6,7
2,6,10,12,12,7,6,12,12,10,12,10,12,12,7,7,8,8,6,1,12,12,7,6,7
3,6,10,11,12,7,12,12,12,10,12,10,12,12,7,7,8,8,6,1,12,12,7,6,7
4,6,10,11,12,7,12,12,12,10,12,10,12,12,7,7,8,8,6,1,12,12,7,6,7
5,6,10,11,12,7,12,12,12,10,12,10,12,12,7,7,8,8,6,1,12,12,7,6,7
6,12,10,11,12,7,12,12,12,10,12,10,12,12,7,7,8,8,6,1,12,11,7,6,7
7,8,10,12,12,7,12,12,12,10,12,10,12,12,7,7,12,8,6,1,12,12,7,6,7
8,12,10,11,12,7,12,12,12,10,12,10,1,12,7,7,12,8,6,1,12,12,7,6,7
9,12,10,11,12,7,12,12,12,10,12,10,12,12,7,7,12,8,6,1,12,12,7,6,7
10,12,10,11,12,7,12,12,12,10,12,10,12,12,7,7,12,8,6,1,12,12,7,6,7
11,12,10,11,12,7,12,12,12,10,12,10,12,12,7,7,12,8,6,1,12,12,7,6,7
12,12,10,11,12,7,12,12,12,10,12,10,12,12,7,7,12,8,6,1,12,12,7,6,7
13,12,10,11,12,7,12,12,12,10,12,10,10,12,7,7,12,8,6,1,12,12,7,6,7
14,12,10,11,12,7,12,12,12,10,12,10,12,12,7,7,12,8,6,1,12,12,7,6,7
15,12,10,11,12,7,12,12,12,10,12,10,10,12,7,7,8,8,6,1,12,12,7,6,7
16,12,10,11,12,7,12,12,12,10,12,10,10,12,7,7,12,8,6,1,12,12,7,6,7
17,12,10,11,12,7,12,12,12,10,12,12,10,12,7,7,12,8,6,1,12,12,7,6,7
18,12,10,11,12,7,12,12,12,10,12,10,8,12,7,7,8,8,6,1,12,12,7,6,7
19,12,10,11,12,7,12,12,12,10,12,10,4,12,7,7,8,8,6,1,12,12,7,6,7
20,12,10,11,12,7,12,12,12,10,12,10,4,12,7,7,8,8,6,1,12,12,7,6,7
21,12,10,11,12,7,12,12,12,10,12,10,4,12,7,7,8,8,6,1,12,12,7,6,7
22,12,10,11,12,7,12,12,12,10,12,10,8,12,7,7,8,8,6,1,12,12,7,6,7
23,12,10,11,12,7,12,12,12,10,12,10,8,12,7,7,8,8,6,1,12,12,7,6,7
24,12,10,11,12,7,12,12,12,10,12,10,8,12,7,7,11,8,6,1,12,12,7,6,7
25,8,10,11,12,7,12,12,12,10,12,10,8,12,7,7,11,8,6,1,12,12,7,6,7
26,12,10,11,12,7,7,12,12,10,12,10,8,12,7,7,11,8,6,1,12,12,7,6,7
27,8,10,11,12,7,12,12,12,10,12,10,4,12,7,7,11,8,6,1,12,12,7,6,7
28,8,10,11,12,7,12,12,12,10,12,10,4,12,7,7,11,8,6,1,12,12,7,6,7
29,12,10,11,12,7,12,12,12,10,12,10,4,12,7,7,11,8,6,1,12,12,7,6,7
30,12,10,11,12,7,12,12,12,10,12,10,4,12,7,7,11,8,6,1,12,12,7,6,3
31,12,10,11,12,7,12,12,12,10,12,10,4,12,7,7,11,8,6,1,12,12,7,6,7
32,12,10,11,12,7,12,12,12,10,12,10,4,12,7,7,11,8,6,1,12,12,7,6,7
